Route Number,Side of Street,6:00 AM Occupied,6:00 AM Unoccupied,7:00 AM Occupied,7:00 AM Unoccupied,8:00 AM Occupied,8:00 AM Unoccupied,9:00 AM Occupied,9:00 AM Unoccupied,10:00 AM Occupied,10:00 AM Unoccupied,11:00 AM Occupied,11:00 AM Unoccupied,12:00 PM Occupied,12:00 PM Unoccupied,1:00 PM Occupied,1:00 PM Unoccupied,2:00 PM Occupied,2:00 PM Unoccupied,3:00 PM Occupied,3:00 PM Unoccupied,4:00 PM Occupied,4:00 PM Unoccupied,5:00 PM Occupied,5:00 PM Unoccupied,6:00 PM Occupied,6:00 PM Unoccupied,7:00 PM Occupied,7:00 PM Unoccupied,8:00 PM Occupied,8:00 PM Unoccupied,Total Spots
1,Right,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3,4.0,4,3.0,5,2.0,7.0
10a,Right,18,1.0,16.0,3.0,16.0,4.0,13.0,7.0,18.0,2.0,17.0,3.0,16.0,4.0,15.0,5.0,17.0,3.0,16.0,4.0,15.0,5.0,16.0,4.0,18,2.0,17,3.0,18,2.0,19.0
10b,Right,6,1.0,6.0,1.0,6.0,1.0,6.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,5.0,2.0,7.0,0.0,7.0,0.0,7.0,0.0,6.0,1.0,7,0.0,7,0.0,7,0.0,7.0
11,Left,6,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6,0.0,6,0.0,6,0.0,6.0
11,Right,8,1.0,8.0,1.0,7.0,2.0,6.0,3.0,7.0,2.0,7.0,2.0,7.0,2.0,8.0,1.0,7.0,2.0,7.0,2.0,6.0,3.0,4.0,5.0,7,2.0,7,2.0,6,3.0,9.0
12,Left,33,15.0,31.0,17.0,28.0,20.0,25.0,23.0,27.0,21.0,27.0,21.0,23.0,25.0,23.0,25.0,28.0,20.0,27.0,21.0,29.0,19.0,32.0,16.0,37,11.0,37,11.0,40,8.0,48.0
12,Right,31,12.0,27.0,16.0,21.0,22.0,19.0,24.0,19.0,24.0,22.0,21.0,19.0,23.0,19.0,24.0,16.0,27.0,19.0,24.0,19.0,24.0,23.0,20.0,25,18.0,30,12.0,33,10.0,43.0
13,Left,29,9.0,26.0,12.0,23.0,15.0,23.0,15.0,24.0,14.0,27.0,11.0,27.0,11.0,26.0,12.0,26.0,12.0,25.0,13.0,26.0,12.0,30.0,8.0,34,4.0,35,3.0,33,5.0,38.0
13,Right,36,7.0,37.0,6.0,35.0,8.0,36.0,7.0,36.0,7.0,37.0,6.0,36.0,7.0,37.0,6.0,37.0,6.0,34.0,9.0,37.0,6.0,38.0,5.0,42,1.0,42,1.0,42,1.0,43.0
14,Left,6,3.0,6.0,3.0,4.0,5.0,3.0,6.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,6.0,4.0,5.0,6.0,3.0,6,3.0,7,2.0,7,2.0,9.0
