Route Number,Side of Street,6:00 AM Occupied,6:00 AM Unoccupied,7:00 AM Occupied,7:00 AM Unoccupied,8:00 AM Occupied,8:00 AM Unoccupied,9:00 AM Occupied,9:00 AM Unoccupied,10:00 AM Occupied,10:00 AM Unoccupied,11:00 AM Occupied,11:00 AM Unoccupied,12:00 PM Occupied,12:00 PM Unoccupied,1:00 PM Occupied,1:00 PM Unoccupied,2:00 PM Occupied,2:00 PM Unoccupied,3:00 PM Occupied,3:00 PM Unoccupied,4:00 PM Occupied,4:00 PM Unoccupied,5:00 PM Occupied,5:00 PM Unoccupied,6:00 PM Occupied,6:00 PM Unoccupied,7:00 PM Occupied,7:00 PM Unoccupied,8:00 PM Occupied,8:00 PM Unoccupied,Total Spots
1,Right,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,0,3,0,4,0,5,0,7.0
10a,Right,18,0,16.0,0,16.0,0,13.0,0,18.0,0,17.0,0,16.0,0,15.0,0,17.0,0,16.0,0,15.0,0,16.0,0,18,0,17,0,18,0,19.0
10b,Right,6,0,6.0,0,6.0,0,6.0,0,7.0,0,7.0,0,7.0,0,5.0,0,7.0,0,7.0,0,7.0,0,6.0,0,7,0,7,0,7,0,7.0
11,Left,6,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6,0,6,0,6,0,0.0
11,Right,8,0,8.0,0,7.0,0,6.0,0,7.0,0,7.0,0,7.0,0,8.0,0,7.0,0,7.0,0,6.0,0,4.0,0,7,0,7,0,6,0,9.0
12,Left,33,0,31.0,0,28.0,0,25.0,0,27.0,0,27.0,0,23.0,0,23.0,0,28.0,0,27.0,0,29.0,0,32.0,0,37,0,37,0,40,0,48.0
12,Right,31,0,27.0,0,21.0,0,19.0,0,19.0,0,22.0,0,19.0,0,19.0,0,16.0,0,19.0,0,19.0,0,23.0,0,25,0,30,0,33,0,43.0
13,Left,29,0,26.0,0,23.0,0,23.0,0,24.0,0,27.0,0,27.0,0,26.0,0,26.0,0,25.0,0,26.0,0,30.0,0,34,0,35,0,33,0,38.0
13,Right,36,0,37.0,0,35.0,0,36.0,0,36.0,0,37.0,0,36.0,0,37.0,0,37.0,0,34.0,0,37.0,0,38.0,0,42,0,42,0,42,0,43.0
14,Left,6,0,6.0,0,4.0,0,3.0,0,3.0,0,5.0,0,4.0,0,4.0,0,4.0,0,3.0,0,4.0,0,6.0,0,6,0,7,0,7,0,9.0
14,Right,6,0,5.0,0,6.0,0,6.0,0,6.0,0,5.0,0,4.0,0,5.0,0,5.0,0,7.0,0,7.0,0,7.0,0,7,0,7,0,7,0,9.0
2,Left,9,0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4,0,7,0,7,0,17.0
2,Right,5,0,2.0,0,2.0,0,3.0,0,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,0,2,0,4,0,22.0
3a,Right,16,0,17.0,0,17.0,0,15.0,0,18.0,0,19.0,0,19.0,0,19.0,0,17.0,0,15.0,0,14.0,0,11.0,0,11,0,15,0,10,0,24.0
3b,Right,7,0,8.0,0,5.0,0,4.0,0,5.0,0,7.0,0,7.0,0,7.0,0,8.0,0,7.0,0,8.0,0,5.0,0,3,0,5,0,6,0,8.0
4,Right,4,0,3.0,0,4.0,0,2.0,0,4.0,0,3.0,0,4.0,0,2.0,0,2.0,0,2.0,0,2.0,0,0.0,0,3,0,4,0,4,0,0.0
5,Right,4,0,4.0,0,1.0,0,1.0,0,3.0,0,4.0,0,3.0,0,3.0,0,3.0,0,2.0,0,1.0,0,2.0,0,4,0,4,0,4,0,0.0
6,Right,4,0,4.0,0,3.0,0,3.0,0,3.0,0,4.0,0,4.0,0,3.0,0,2.0,0,4.0,0,4.0,0,5.0,0,4,0,5,0,5,0,7.0
7,Right,8,0,8.0,0,7.0,0,6.0,0,8.0,0,7.0,0,7.0,0,7.0,0,6.0,0,7.0,0,7.0,0,5.0,0,7,0,7,0,7,0,9.0
8,Right,5,0,4.0,0,5.0,0,5.0,0,4.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,4.0,0,5,0,5,0,5,0,6.0
9,Left,17,0,15.0,0,15.0,0,13.0,0,14.0,0,12.0,0,13.0,0,12.0,0,12.0,0,11.0,0,15.0,0,18.0,0,18,0,19,0,19,0,21.0
9,Right,19,0,16.0,0,14.0,0,17.0,0,16.0,0,15.0,0,13.0,0,14.0,0,13.0,0,17.0,0,18.0,0,21.0,0,20,0,21,0,21,0,23.0
