Absolute Spot Number,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,Street Name
8,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
9,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
10,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
11,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
12,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
13,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
14,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
15,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Chester Square
16,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
17,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
18,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
19,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
20,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
21,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
22,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Chester Square
23,Unoccupied,Unoccupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Chester Square
